 |2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|2|
6|842|82|86|84|82|82|28|8|82|82|82|82|82|86|84|86|4
6|842coin|86|46|426coin|84|86|486|46|84|28|28|28|28|26|426cr|46|4
6|84|62|46|84|62|46|4|62|46|84|82|82|86|84|82|62|4
6|4|82|2|6|842||6|84|2|6|84|82|6|42|82|86|4
6|46|842cr|86|42|862|426|426|46|84|62|64|842|2|82|8|6|4
6|4|86|4|coin862|84|862cr|842|6|426|842|6|48|82|86|46|46|4
6|46|46|46|842||8|86|426|842coin|86|426coin|42|86|426coin|46|426|4
6|46|46|42|86|46|42|2|8|862|46|84|86|42|8|62|684|4
6|42|82|86|4|62|84|862coin|42|82|2|62|42|86|4|82|6|4
|8|86|46|42|82|2|86|84|86|84|86|842cr|62|46|468|46|4
6|486coin|46|4|82|862|84|62|46|42|6|46|84|82|62|46|46|4
6|42|2|62|842coin|82|2|82|62|842|62|42|62|842cr|82|2|62|4
|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|8|
